[18/Mar/2026:04:41:40 +0000] - 302 302 - GET http vscode.apperlabs.com "/" [Client 15.158.59.10] [Length 36] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "http://13.251.220.49:81/"
[18/Mar/2026:04:42:41 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/vscode-remote-resource?path=%2Fusr%2Flib%2Fcode-server%2Flib%2Fvscode%2Fextensions%2Ftheme-defaults%2Fthemes%2Flight_modern.json&tkn=" [Client 15.158.59.7] [Length 1393] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:04:42:43 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/vscode-remote-resource?path=%2Fusr%2Flib%2Fcode-server%2Flib%2Fvscode%2Fextensions%2Ftheme-seti%2Ficons%2Fseti.woff&tkn=" [Client 15.158.59.7] [Length 37336] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:04:42:43 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/vscode-remote-resource?path=%2Fusr%2Flib%2Fcode-server%2Flib%2Fvscode%2Fextensions%2Ftheme-defaults%2Fthemes%2Flight_plus.json&tkn=" [Client 15.158.59.19] [Length 1034] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:04:42:43 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/vscode-remote-resource?path=%2Fusr%2Flib%2Fcode-server%2Flib%2Fvscode%2Fextensions%2Fjson%2Flanguage-configuration.json&tkn=" [Client 15.158.59.4] [Length 335] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:04:42:43 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/static/node_modules/vscode-oniguruma/release/onig.wasm" [Client 15.158.59.8] [Length 132975] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:04:42:43 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/vscode-remote-resource?path=%2Fusr%2Flib%2Fcode-server%2Flib%2Fvscode%2Fextensions%2Ftheme-defaults%2Fthemes%2Flight_vs.json&tkn=" [Client 15.158.59.7] [Length 1852] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:04:42:44 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/vscode-remote-resource?path=%2Fusr%2Flib%2Fcode-server%2Flib%2Fvscode%2Fextensions%2Fjson%2Fsyntaxes%2FJSON.tmLanguage.json&tkn=" [Client 15.158.59.19] [Length 1214] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:04:44:45 +0000] - 101 101 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45?reconnectionToken=f371537b-ede7-495b-bc60-07c34a25c9fc&reconnection=false&skipWebSocketFrames=false" [Client 15.158.59.55] [Length 20111] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
[18/Mar/2026:04:44:45 +0000] - 101 101 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45?reconnectionToken=e7fddb30-5d5f-49d2-9118-9c3f511c1d69&reconnection=false&skipWebSocketFrames=false" [Client 15.158.59.19] [Length 954326] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
[18/Mar/2026:05:01:30 +0000] - 101 101 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45?reconnectionToken=e7fddb30-5d5f-49d2-9118-9c3f511c1d69&reconnection=true&skipWebSocketFrames=false" [Client 15.158.59.19] [Length 12083] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
[18/Mar/2026:05:01:56 +0000] - 101 101 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45?reconnectionToken=f371537b-ede7-495b-bc60-07c34a25c9fc&reconnection=true&skipWebSocketFrames=false" [Client 15.158.59.52] [Length 1622] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
[18/Mar/2026:05:18:47 +0000] - 101 101 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45?reconnectionToken=f371537b-ede7-495b-bc60-07c34a25c9fc&reconnection=true&skipWebSocketFrames=false" [Client 15.158.59.46] [Length 14710] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
[18/Mar/2026:05:20:00 +0000] - 101 101 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45?reconnectionToken=e7fddb30-5d5f-49d2-9118-9c3f511c1d69&reconnection=true&skipWebSocketFrames=false" [Client 15.158.59.37] [Length 15752] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
[18/Mar/2026:06:00:52 +0000] - 200 200 - GET http vscode.apperlabs.com "/?folder=/home/coder" [Client 15.158.59.10] [Length 1391] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/login"
[18/Mar/2026:06:00:52 +0000] - 200 200 - GET http vscode.apperlabs.com "/manifest.json" [Client 15.158.59.10] [Length 291] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:00:53 +0000] - 404 404 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/static/node_modules/vsda/rust/web/vsda_bg.wasm" [Client 15.158.59.10] [Length 23] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:00:55 +0000] - 304 304 - GET http vscode.apperlabs.com "/update/check" [Client 15.158.59.7] [Length 0] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:00:55 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/static/out/vs/workbench/services/extensions/worker/webWorkerExtensionHostIframe.html?&vscodeWebWorkerExtHostId=2b7629c6-065a-441c-9205-c3eb8d8fe3ce" [Client 15.158.59.19] [Length 2196] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:14:24 +0000] - 302 302 - GET http vscode.apperlabs.com "/" [Client 15.158.59.10] [Length 50] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "http://13.251.220.49:81/"
[18/Mar/2026:06:14:24 +0000] - 200 200 - GET http vscode.apperlabs.com "/?folder=/home/coder" [Client 15.158.59.10] [Length 1391] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "http://13.251.220.49:81/"
[18/Mar/2026:06:14:25 +0000] - 200 200 - GET http vscode.apperlabs.com "/manifest.json" [Client 15.158.59.17] [Length 291] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:14:26 +0000] - 404 404 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/static/node_modules/vsda/rust/web/vsda_bg.wasm" [Client 15.158.59.17] [Length 23] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:14:27 +0000] - 101 101 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45?reconnectionToken=609cc751-f729-4b5f-962e-703b9351e181&reconnection=false&skipWebSocketFrames=false" [Client 15.158.59.51] [Length 1959] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
[18/Mar/2026:06:14:27 +0000] - - 499 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45?reconnectionToken=4d882f84-5efc-4104-b920-d22e8852c11b&reconnection=false&skipWebSocketFrames=false" [Client 15.158.59.37] [Length 0] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
[18/Mar/2026:06:14:28 +0000] - 304 304 - GET http vscode.apperlabs.com "/update/check" [Client 15.158.59.7] [Length 0] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:14:28 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/static/out/vs/workbench/services/extensions/worker/webWorkerExtensionHostIframe.html?&vscodeWebWorkerExtHostId=8ecf6e63-d599-4a4f-8e77-83a6b82da39f" [Client 15.158.59.17] [Length 2196] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:14:28 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/static/out/vs/workbench/services/extensions/worker/webWorkerExtensionHostIframe.html?&vscodeWebWorkerExtHostId=38495492-17d7-448c-91b5-967107d6a51b" [Client 15.158.59.19] [Length 2196] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:14:28 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/static/extensions/theme-defaults/themes/light_modern.json" [Client 15.158.59.19] [Length 1393] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:14:28 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/static/extensions/theme-seti/icons/vs-seti-icon-theme.json" [Client 15.158.59.17] [Length 7617] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:14:29 +0000] - 101 101 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45?reconnectionToken=ac23206b-120a-429d-b88e-ad80b20d1cc5&reconnection=false&skipWebSocketFrames=false" [Client 15.158.59.14] [Length 962304] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
[18/Mar/2026:06:14:29 +0000] - 101 101 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45?reconnectionToken=8758f7fb-b87c-456a-90ac-17f7410635fb&reconnection=false&skipWebSocketFrames=false" [Client 15.158.59.13] [Length 31211] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
[18/Mar/2026:06:19:41 +0000] - 302 302 - GET http vscode.apperlabs.com "/" [Client 15.158.59.10] [Length 50] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "http://13.251.220.49:81/"
[18/Mar/2026:06:19:42 +0000] - 200 200 - GET http vscode.apperlabs.com "/?folder=/home/coder" [Client 15.158.59.10] [Length 1391] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "http://13.251.220.49:81/"
[18/Mar/2026:06:19:42 +0000] - 200 200 - GET http vscode.apperlabs.com "/manifest.json" [Client 15.158.59.17] [Length 291] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:19:43 +0000] - 404 404 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/static/node_modules/vsda/rust/web/vsda_bg.wasm" [Client 15.158.59.7] [Length 23] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:19:44 +0000] - 200 200 - GET http vscode.apperlabs.com "/update/check" [Client 15.158.59.19] [Length 80] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:19:44 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/static/out/vs/workbench/services/extensions/worker/webWorkerExtensionHostIframe.html?&vscodeWebWorkerExtHostId=e058cd03-2c79-49df-bcc8-949c266ae78f" [Client 15.158.59.7] [Length 2196] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:24:19 +0000] - 302 302 - GET http vscode.apperlabs.com "/" [Client 15.158.59.10] [Length 50] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "http://13.251.220.49:81/"
[18/Mar/2026:06:24:20 +0000] - 200 200 - GET http vscode.apperlabs.com "/?folder=/home/coder" [Client 15.158.59.10] [Length 1391] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "http://13.251.220.49:81/"
[18/Mar/2026:06:24:20 +0000] - 200 200 - GET http vscode.apperlabs.com "/manifest.json" [Client 15.158.59.17] [Length 291] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:24:21 +0000] - 404 404 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/static/node_modules/vsda/rust/web/vsda_bg.wasm" [Client 15.158.59.17] [Length 23] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:24:22 +0000] - 304 304 - GET http vscode.apperlabs.com "/update/check" [Client 15.158.59.17] [Length 0] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:24:22 +0000] - 200 200 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45/static/out/vs/workbench/services/extensions/worker/webWorkerExtensionHostIframe.html?&vscodeWebWorkerExtHostId=dae06e3d-1aee-4e08-a1d9-e9fc92132d95" [Client 15.158.59.7] [Length 2196] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:24:23 +0000] - 101 101 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45?reconnectionToken=ed63294f-82d8-4455-835e-e82e019074b9&reconnection=false&skipWebSocketFrames=false" [Client 15.158.59.48] [Length 953012] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
[18/Mar/2026:06:24:23 +0000] - 101 101 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45?reconnectionToken=7ed42ab5-0ad8-4688-89ca-e6380a1a98b6&reconnection=false&skipWebSocketFrames=false" [Client 15.158.59.18] [Length 17823] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
[18/Mar/2026:06:24:25 +0000] - 302 302 - GET http vscode.apperlabs.com "/" [Client 15.158.59.17] [Length 50] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "http://13.251.220.49:81/"
[18/Mar/2026:06:24:26 +0000] - 200 200 - GET http vscode.apperlabs.com "/?folder=/home/coder" [Client 15.158.59.7] [Length 1391] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "http://13.251.220.49:81/"
[18/Mar/2026:06:24:26 +0000] - 200 200 - GET http vscode.apperlabs.com "/manifest.json" [Client 15.158.59.19] [Length 291] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "https://vscode.apperlabs.com/?folder=/home/coder"
[18/Mar/2026:06:24:27 +0000] - 101 101 - GET http vscode.apperlabs.com "/stable-a6d80dc434b8774c92d0c7b548a24a35b8ac4a45?reconnectionToken=1c14440b-c3cc-4edf-b1cd-95b6ce540d19&reconnection=false&skipWebSocketFrames=false" [Client 15.158.59.36] [Length 0] [Gzip -] [Sent-to user1] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "-"
